icao24,registration,model,operatorIcao
06a14a,A7-API,A380-800,QTR
06a14b,A7-APJ,A380-861,QTR
06a152,A7-AHX,A320 232SL,QTR
06a153,A7-AHY,A320 232SL,QTR
06a190,A7-AFV,Airbus A330 243F,QTR
06a191,A7-AFY,Airbus A330 243F,QTR
06a192,A7-AFZ,Airbus A330 243F,QTR
06a19d,A7-BEB,777 3DZER,QTR
06a19e,A7-BEC,777 3DZER,QTR
06a19f,A7-BED,Boeing 777 3DZER,QTR
06a1a1,A7-AFF,Airbus A330 243F,QTR
06a1a2,A7-AFG,Airbus A330 243F,QTR
06a1a5,A7-AFJ,A330 243F,QTR
06a1b8,A7-LAA,A320 214SL,QTR
06a1bb,A7-BEE,Boeing 777 3DZER,QTR
06a1bc,A7-BEF,777 3DZER,QTR
06a1bd,A7-BEG,777 3DZER,QTR
06a1be,A7-BEH,Boeing 777 3DZER,QTR
06a1bf,A7-BEI,777 3DZER,QTR
06a1c0,A7-BEJ,777-3DZ(ER),QTR
06a1c5,A7-LAD,A320 214SL,QTR
06a1e0,A7-LAF,A320 214SL,QTR
06a1e1,A7-LAG,A320 214SL,QTR
06a1e2,A7-LAH,A320 214SL,QTR
06a1e6,A7-BFI,Boeing 777-FDZ,QTR
06a1e7,A7-BFJ,777 FDZ,QTR
06a1e8,A7-BFK,777 F,QTR
06a1e9,A7-BFL,Boeing 777-F,QTR
06a1ea,A7-BFM,Boeing 777-F,QTR
06a1ec,A7-BFO,777-FDZ,QTR
06a2af,A7-BEK,Boeing 777 3DZER,QTR
06a2b0,A7-BEL,Boeing 777 300ER,QTR
06a2b2,A7-BEN, 777-300(ER),QTR
06a2b4,A7-BEP,777-3DZ(ER),QTR
06a2b5,A7-BEQ,,QTR
06a2b6,A7-BER,B777-300(ER),QTR
06a2c4,A7-BEU,777-3DZ(ER),QTR
06a2c5,A7-BEV,777-300ER,QTR
06a2c7,A7-BEX,Boeing 777-300(ER),QTR
06a2c8,A7-BGA,B748F,QTR
06a2c9,A7-BGB,Boeing 747 8F,QTR
06a2df,A7-BFR,Boeing 777-F,QTR
06a2e1,A7-BFT,Boeing 777F,QTR
06a2e5,A7-BHB,787-9 Dreamliner,QTR
06a2e6,A7-BHC,787-9 Dreamliner,QTR
06a2e7,A7-BHD,787-9 Dreamliner,QTR
06a2f4,A7-BHQ,Boeing 787-9 Dreamliner,QTR
06a2f5,A7-BHR,Boeing 787-9 Dreamliner,QTR
06a2f6,A7-BHS,Boeing 787-9 Dreamliner,QTR
06a2f7,A7-BHT,Boeing 787-9 Dreamliner,QTR
06a2f8,A7-BHU,Boeing 787-9 Dreamliner,QTR
06a2f9,A7-BHV,Boeing 787-9 Dreamliner,QTR
06a2fa,A7-BHW,Boeing 787-9 Dreamliner,QTR
06a305,A7-AQC,A350-941,QTR
06a30b,A7-BFX,B777-LR(F),QTR
06a375,A7-BOD,777-367ER,QTR
06a376,A7-BOE,Boeing 777-3ZG(ER),QTR
06a37c,A7-BOG,Boeing 777-3ZG(ER),QTR
06a37f,A7-BSA,Boeing 737 MAX 8,QTR
06a380,A7-BSB,Boeing 737 MAX 8,QTR
06a381,A7-BSC,Boeing 737 MAX 8,QTR
06a382,A7-BSD,Boeing 737 MAX 8,QTR
06a387,A7-BSE,Boeing 737 MAX 8,QTR
06a388,A7-BSF,Boeing 737 MAX 8,QTR
06a389,A7-BSG,Boeing 737 MAX 8,QTR
06a38a,A7-BSH,Boeing 737 MAX 8,QTR
06a38b,A7-BSI,Boeing 737 MAX 8,QTR
06a38c,A7-BOH,Boeing 777-367(ER),QTR
06a38d,A7-BOI,Boeing 777-367(ER),QTR
06a390,A7-BTA,Boeing 777-F,QTR
06a391,A7-BTB,Boeing 777-F,QTR
06a3b4,A7-BUA,Boeing 787-8 Dreamliner,QTR
06a3b9,A7-ACU,Airbus A330-243,QTR
06a3bd,A7-AEP,Airbus A330-343,QTR
06a3bf,A7-AER,Airbus A330-343,QTR
3005e1,I-SWIA,747 4R7F,QTR
44d103,OO-THC,Boeing 747 4HAERF,UAE
44d104,OO-THD,Boeing 747 4HAERF,UAE
4b8468,TC-ACH,Boeing 747 433BCF,QTR
4bb46c,TC-MCL,Boeing 747 412F,QTR
896004,A6-EHH,Airbus A340 642X,ETD
896052,A6-EMO,Boeing 777 31H,UAE
89607b,A6-EMR,777 31H,UAE
89607d,A6-EMT,777 31H,UAE
89607e,A6-EMU,777 31H,UAE
89607f,A6-EMV,777 31H,UAE
8960c6,A6-EYD,Airbus A330 243,ETD
8960c9,A6-EBB,Boeing 777 36NER,UAE
8960ca,A6-EBC,Boeing 777 36NER,UAE
8960cb,A6-EBD,Boeing 777 31HER,UAE
8960cc,A6-EBE,Boeing 777 36NER,UAE
8960ce,A6-EBG,Boeing 777 36NER,UAE
8960cf,A6-EBH,Boeing 777 31HER,UAE
8960d0,A6-EBI,Boeing 777 36NER,UAE
8960d1,A6-EBJ,Boeing 777 36NER,UAE
8960d2,A6-EBK,777 31HER,UAE
8960d4,A6-EBM,777 31HER,UAE
8960d5,A6-EBN,777 36NER,UAE
8960d6,A6-EBO,777 36NER,UAE
8960d8,A6-EBQ,777 36NER,UAE
8960d9,A6-EBR,777 31HER,UAE
8960da,A6-EBS,Boeing 777 31HER,UAE
8960dc,A6-EBU,777 31HER,UAE
8960de,A6-EBW,777 36NER,UAE
8960e0,A6-EBY,777 36NER,UAE
8960e2,A6-EDA,A380 861,UAE
8960e3,A6-EDB,A380 861,UAE
8960e4,A6-EDC,Airbus A380 861,UAE
8960e5,A6-EDD,A380 861,UAE
8960e6,A6-EDE,A380 861,UAE
8960e7,A6-EDF,A380 861,UAE
8960e8,A6-EDG,A380 861,UAE
8960e9,A6-EDH,A380 861,UAE
8960ea,A6-EDI,Airbus A380 861,UAE
8960eb,A6-EDJ,A380 861,UAE
8960ec,A6-EDK,A380 861,UAE
8960ed,A6-EDL,A380 861,UAE
8960ee,A6-EDM,A380 861,UAE
8960ef,A6-EDN,A380 861,UAE
8960f0,A6-EDO,A380 861,UAE
8960f1,A6-EDP,A380 861,UAE
8960f2,A6-EDQ,A380 861,UAE
8960f3,A6-EDR,A380 861,UAE
8960f4,A6-EDS,A380 861,UAE
8960f5,A6-EDT,A380 861,UAE
8960f6,A6-EDU,A380 861,UAE
8960f7,A6-EDV,Airbus A380 861,UAE
8960f8,A6-EDW,A380 861,UAE
8960f9,A6-EDX,Airbus A380 861,UAE
8960fa,A6-EDY,A380 861,UAE
8960fb,A6-EDZ,A380 861,UAE
896108,A6-ECA,Boeing 777-36N(ER),UAE
896109,A6-ECB,Boeing 777 31HER,UAE
89610a,A6-ECC,Boeing 777-36N(ER),UAE
89610b,A6-ECD,777 36NER,UAE
89610c,A6-ECE,777 31HER,UAE
89610d,A6-ECF,Boeing 777-31H(ER) ,UAE
89610e,A6-ECG,Boeing 777-31H(ER),UAE
89610f,A6-ECH,Boeing 777-31H(ER),UAE
896110,A6-ECI,777 31HER,UAE
896111,A6-ECJ,Boeing 777-31H(ER),UAE
896112,A6-ECK,Boeing 777-31H(ER),UAE
896113,A6-ECL,Boeing 777-36N(ER),UAE
896114,A6-ECM,B777-36N(ER),UAE
